大項目,中項目,小項目,各部位,部所
日常点検,建物,,,クラック・爆裂、タイルの浮き･ふくらみ箇所はないか
日常点検,建物,,ベランダ,ゴミ屋敷はないか
日常点検,建物,,階段・廊下,汚れ・放置物はないか
日常点検,建物,,掲示板,破損はないか
日常点検,建物,,集合郵便受,破損、無断退去、郵便物のあふれはないか
日常点検,建物,,照明器具,破損・点灯不良・汚れはないか
日常点検,建物,,樋,割れ・はずれはないか
日常点検,建物,,設備ボックス,破損・錆はないか
日常点検,建物,,EV,汚れ・ゴミはないか
日常点検,団地内道路,,舗装,舗装面の割れ穴・水溜りはないか
日常点検,団地内道路,,フェンス,破損・錆はないか
日常点検,団地内道路,,縁石,段差・隙間・倒れはないか
日常点検,団地内道路,,U字溝,ゴミなど詰まりはないか
日常点検,団地内道路,,グレーチング・桝・桝蓋,ズレ・がたつきはないか
日常点検,敷地,,不法施設･投棄,不法施設（猫小屋、倉庫）･投棄はないか
日常点検,敷地,,緑地,雑草･植栽の繁茂はないか
日常点検,敷地,,高木,枝折れ、落下、越境、根の浮きはないか
日常点検,敷地,,ﾍﾞﾝﾁ・ﾊﾟｰｺﾞﾗ,破損・錆、劣化はないか
日常点検,敷地,,ポール・照明器具,破損･点灯不良はないか
日常点検,駐車場,,区画線,区画線・番号は消えていないか
日常点検,駐車場,,舗装,舗装面の割れ・穴・水溜り車止めの破損はないか
日常点検,駐車場,,放置車両,放置車両･違法駐車はないか
日常点検,(その他箇所）,,駐輪場,破損・放置自転車はないか
日常点検,(その他箇所）,,ゴミ置場,破損･汚れ・放置ゴミはないか
日常点検,(その他箇所）,,給水施設,破損・錆･錠のはずれはないか
日常点検,その他,,,自治会・入居者等からの意見他
外壁等,南外壁,外壁,躯体等,外壁・窓周
外壁等,南外壁,外壁,躯体等,霧除け、庇
外壁等,南外壁,外壁,躯体等,ベランダ(設備等貫通部含）
外壁等,南外壁,外壁,躯体等,腰壁、床下・天井裏換気孔周
外壁等,南外壁,外壁,階段室,階段庇
外壁等,南外壁,外壁,階段室,踊場腰壁・手摺フレキ板
外壁等,南外壁,外壁,階段室,階段手摺
外壁等,南外壁,外壁,階段室,階段踏面、蹴上、あげ裏
外壁等,南外壁,外壁,階段室,ノンスリップ
外壁等,南外壁,仕上げ材,吹き付,吹き付け塗材
外壁等,南外壁,仕上げ材,シール材,目地材（打継、誘発）
外壁等,南外壁,仕上げ材,タイル貼,
外壁等,南外壁,仕上げ材,モルタル塗,
外壁等,南外壁,窓サッシ等,,サッシ、扉類
外壁等,南外壁,窓サッシ等,,手摺
外壁等,南外壁,窓サッシ等,,ガラス
外壁等,南外壁,外壁取付材,,換気口類、枠
外壁等,南外壁,外壁取付材,,樋、通気管、排気塔
外壁等,南外壁,外壁取付材,,電気引込取付金物
外壁等,南外壁,外壁取付材,,配管類取付金物
外壁等,南外壁,外壁取付材,,吊金物
外壁等,北壁面,外壁,躯体等,外壁・窓周
外壁等,北壁面,外壁,躯体等,霧除け、庇
外壁等,北壁面,外壁,躯体等,ベランダ(設備等貫通部含）
外壁等,北壁面,外壁,躯体等,腰壁、床下・天井裏換気孔周
外壁等,北壁面,外壁,階段室,階段庇
外壁等,北壁面,外壁,階段室,踊場腰壁・手摺フレキ板
外壁等,北壁面,外壁,階段室,階段手摺
外壁等,北壁面,外壁,階段室,階段踏面、蹴上、あげ裏
外壁等,北壁面,外壁,階段室,ノンスリップ
外壁等,北壁面,仕上げ材,吹き付,吹き付け塗材
外壁等,北壁面,仕上げ材,シール材,目地材（打継、誘発）
外壁等,北壁面,仕上げ材,タイル貼,
外壁等,北壁面,仕上げ材,モルタル塗,
外壁等,北壁面,窓サッシ等,,サッシ、扉類
外壁等,北壁面,窓サッシ等,,手摺
外壁等,北壁面,窓サッシ等,,ガラス
外壁等,北壁面,外壁取付材,,換気口類、枠
外壁等,北壁面,外壁取付材,,樋、通気管、排気塔
外壁等,北壁面,外壁取付材,,電気引込取付金物
外壁等,北壁面,外壁取付材,,配管類取付金物
外壁等,北壁面,外壁取付材,,吊金物
外壁等,東妻面,外壁,躯体等,妻壁
外壁等,東妻面,外壁,躯体等,床下・天井裏換気孔周り
外壁等,東妻面,仕上げ材,吹き付,吹き付け塗材
外壁等,東妻面,仕上げ材,シール材,目地材（打継、誘発）
外壁等,東妻面,仕上げ材,タイル貼,タイル
外壁等,東妻面,仕上げ材,モルタル塗,
外壁等,東妻面,外壁取付材,,換気口類、枠
外壁等,東妻面,外壁取付材,,樋
外壁等,東妻面,外壁取付材,,電気引込取付金物
外壁等,西妻面,外壁,躯体等,妻壁
外壁等,西妻面,外壁,躯体等,床下・天井裏換気孔周り
外壁等,西妻面,仕上げ材,吹き付,吹き付け塗材
外壁等,西妻面,仕上げ材,シール材,目地材（打継、誘発）
外壁等,西妻面,仕上げ材,タイル貼,タイル
外壁等,西妻面,仕上げ材,モルタル塗,
外壁等,西妻面,外壁取付材,,換気口類、枠
外壁等,西妻面,外壁取付材,,樋
外壁等,西妻面,外壁取付材,,電気引込取付金物
屋根・防水,住棟屋上,アスファルト防水,防水層,防水層
屋根・防水,住棟屋上,アスファルト防水,防水層,パラペット、笠木、鳩小屋・立上
屋根・防水,住棟屋上,アスファルト防水,防水層,ドレイン、どぶ周
屋根・防水,住棟屋上,アスファルト防水,防水層,目地、脱気装置
屋根・防水,住棟屋上,アスファルト防水,防水層,設備架台、モルタル笠木等
屋根・防水,住棟屋上,シート防水系,防水層,防水層
屋根・防水,住棟屋上,シート防水系,防水層,パラペット、笠木、鳩小屋・立上
屋根・防水,住棟屋上,シート防水系,防水層,ドレイン、どぶ周
屋根・防水,住棟屋上,シート防水系,防水層,目地、脱気装置
屋根・防水,住棟屋上,シート防水系,防水層,設備架台　　モルタル笠木等
屋根・防水,住棟屋上,塗膜防水系,防水層,防水層
屋根・防水,住棟屋上,塗膜防水系,防水層,パラペット、笠木、鳩小屋・立上
屋根・防水,住棟屋上,塗膜防水系,防水層,ドレイン、どぶ周
屋根・防水,住棟屋上,塗膜防水系,防水層,目地、脱気装置
屋根・防水,住棟屋上,塗膜防水系,防水層,設備架台　　モルタル笠木等
屋根・防水,住棟屋上,勾配屋根（シングル葺）,葺材,シングル材
屋根・防水,住棟屋上,勾配屋根（シングル葺）,葺材,棟押、軒先、けらば金物
屋根・防水,住棟屋上,勾配屋根（シングル葺）,葺材,軒樋、内樋、谷
屋根・防水,住棟屋上,勾配屋根（瓦葺）,葺材,瓦
屋根・防水,住棟屋上,勾配屋根（瓦葺）,葺材,瓦くぎ類
屋根・防水,住棟屋上,勾配屋根（瓦葺）,葺材,下地材、桟木
屋根・防水,住棟屋上,勾配屋根（瓦葺）,葺材,軒樋
塗装,外部,サッシ類,サッシ,サッシ本体
塗装,外部,サッシ類,サッシ,枠類
塗装,外部,サッシ類,サッシ,水切
塗装,外部,サッシ類,サッシ,パテ類
塗装,外部,扉類,扉,扉本体、ヒンジ類
塗装,外部,扉類,PS扉,扉本体、ヒンジ類
塗装,外部,扉類,PS扉,郵便受
塗装,外部,手摺類,アンカー,アンカー
塗装,外部,手摺類,方立・竪桟,方立・竪桟
塗装,外部,手摺類,横桟・笠木,横桟・笠木
塗装,外部,手摺類,手摺子,手摺子
